City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,preobrazheniye,42.9019,133.9064,-13.75,52,0,4.03,RU,1674696373
263,salinopolis,-0.6136,-47.3561,25.01,86,83,3.66,BR,1674696373
264,ankara,39.9199,32.8543,0.67,86,40,0.51,TR,1674696232
265,lasa,46.6166,10.7002,-0.51,56,35,1.82,IT,1674696374
266,sioux lookout,50.1001,-91.917,-20.96,84,0,1.03,CA,1674696167
267,lithgow,-33.4833,150.15,29.34,25,0,3.99,AU,1674696374
268,lebu,-37.6167,-73.65,14.48,83,3,5.96,CL,1674696375
269,vanimo,-2.6741,141.3028,29.56,65,81,1.64,PG,1674696375
270,bela vista de goias,-16.9728,-48.9533,22.64,87,100,0.69,BR,1674696376
271,saint-augustin,51.226,-58.6502,-18.72,80,0,2.73,CA,1674696376
272,cartagena,10.3997,-75.5144,26.79,78,0,5.66,CO,1674696041
273,sehithwa,-20.4667,22.7167,23.27,50,95,2.5,BW,1674696378
274,port elizabeth,-33.918,25.5701,19.16,91,40,3.6,ZA,1674696379
275,takoradi,4.8845,-1.7554,26.58,86,0,3.82,GH,1674696379
276,narsaq,60.9167,-46.05,0.12,99,100,3.36,GL,1674696380
277,guarapari,-20.6667,-40.4975,23.83,91,100,2.89,BR,1674696380
278,ostrovnoy,68.0531,39.5131,-4.78,88,94,9.77,RU,1674696381
279,grindavik,63.8424,-22.4338,5.97,81,75,11.32,IS,1674696381
280,almeria,37.1667,-2.3333,4.87,62,0,3.86,ES,1674696382
281,bihoro,43.8228,144.1044,-6.99,42,75,3.6,JP,1674696382
282,mombasa,-4.0547,39.6636,24.14,87,11,4.03,KE,1674696383
283,tsabong,-26.0217,22.401,25.77,47,100,3.8,BW,1674696384
284,high level,58.5169,-117.136,-8.94,100,100,4.12,CA,1674696384
285,ilo,-17.6394,-71.3375,21.47,85,100,0.4,PE,1674696385
286,orchard homes,46.8633,-114.0484,1.08,86,100,2.57,US,1674696385
287,punta alta,-38.8759,-62.0736,24.74,42,79,3.28,AR,1674696385
288,bridlington,54.0831,-0.1919,5.29,84,8,8.53,GB,1674696386
289,ishinomaki,38.4167,141.3,0.0,54,41,7.81,JP,1674696386
290,ancud,-41.8697,-73.8203,13.62,87,100,4.75,CL,1674696387
291,parker,32.7668,-97.8003,4.95,78,5,0.89,US,1674696146
292,nayudupeta,13.9,79.9,19.49,90,53,1.37,IN,1674696388
293,petropavlovsk-kamchatskiy,53.0452,158.6483,2.33,70,100,12.0,RU,1674696389
294,babstovo,48.1167,132.4833,-29.08,82,5,2.29,RU,1674696389
295,malanje,-9.5402,16.341,16.39,94,100,0.95,AO,1674696390
296,san cristobal,7.7669,-72.225,21.1,69,20,0.82,VE,1674696390
297,barrow,71.2906,-156.7887,-26.99,76,0,6.69,US,1674696391
298,strezhevoy,60.7333,77.5889,-12.26,92,100,5.58,RU,1674696391
299,zagora,30.3484,-5.8365,8.12,41,98,4.7,MA,1674696391
300,saint-louis,16.3333,-15.0,24.86,28,94,4.09,SN,1674696392
301,saldanha,-33.0117,17.9442,14.03,84,0,8.06,ZA,1674696392
302,san quintin,30.4833,-115.95,14.94,49,100,2.64,MX,1674696392
303,coquimbo,-29.9533,-71.3436,16.85,88,0,3.6,CL,1674696197
304,caborca,30.5838,-111.101,13.79,25,7,3.59,MX,1674696393
305,zhigansk,66.7697,123.3711,-38.27,98,99,2.42,RU,1674696393
306,yellapur,14.9667,74.7167,17.03,96,17,1.04,IN,1674696394
307,along,28.1667,94.7667,10.41,70,100,0.63,IN,1674696394
308,tarakeswar,22.885,88.0172,17.85,71,2,1.02,IN,1674696394
309,jawhar,2.7809,45.5005,21.13,75,0,6.12,SO,1674696395
310,port hardy,50.6996,-127.4199,6.1,100,100,1.54,CA,1674696126
311,naze,28.3667,129.4833,13.51,59,9,1.34,JP,1674696395
312,cururupu,-1.8283,-44.8683,22.77,97,100,0.89,BR,1674696396
313,tilichiki,60.4667,166.1,-16.88,70,98,8.46,RU,1674696396
314,souris,49.6172,-100.2612,-9.08,99,86,2.27,CA,1674696396
315,krasnoselkup,65.7,82.4667,-16.07,95,100,7.02,RU,1674696396
316,benguela,-12.5763,13.4055,25.69,80,100,2.94,AO,1674696002
317,cassilandia,-19.1133,-51.7342,22.86,87,1,1.09,BR,1674696397
318,hamilton,39.1834,-84.5333,2.67,90,100,6.69,US,1674696289
319,isilkul,54.9109,71.2728,-13.51,94,58,5.48,RU,1674696397
320,bengkulu,-3.8004,102.2655,24.87,82,100,1.92,ID,1674696198
321,itoman,26.1247,127.6694,19.01,56,40,4.63,JP,1674696398
322,jiuquan,39.7432,98.5174,-14.77,71,23,2.17,CN,1674696398
323,mount isa,-20.7333,139.5,33.87,38,39,2.06,AU,1674696398
324,tagusao,9.1924,117.8141,26.68,77,77,2.56,PH,1674696399
325,carnarvon,-24.8667,113.6333,29.35,57,0,3.55,AU,1674696399
326,cartagena del chaira,1.3349,-74.8429,24.44,62,48,1.68,CO,1674696399
327,diffa,13.3154,12.6113,21.85,14,100,3.52,NE,1674696400
328,esperance,-33.8667,121.9,21.35,64,28,2.74,AU,1674696400
329,tasiilaq,65.6145,-37.6368,-2.91,96,100,9.4,GL,1674696400
330,kieta,-6.2167,155.6333,27.71,78,71,4.26,PG,1674696401
331,road town,18.4167,-64.6167,25.02,94,40,3.6,VG,1674696401
332,acajutla,13.5928,-89.8275,26.0,76,11,3.76,SV,1674696401
333,sarangani,5.4033,125.4636,27.59,77,100,4.58,PH,1674696402
334,cranbrook,49.4999,-115.7688,-4.09,74,40,1.03,CA,1674696220
335,adrar,20.5022,-10.0711,18.66,13,100,4.65,MR,1674696402
336,guerrero negro,27.9769,-114.0611,17.59,31,83,1.55,MX,1674696338
337,chiang kham,19.5233,100.3,19.39,70,0,0.51,TH,1674696403
338,puerto cabezas,14.0351,-83.3888,24.45,89,9,3.82,NI,1674696403
339,whitianga,-36.8333,175.7,20.53,68,68,5.74,NZ,1674696403
340,gallup,35.5281,-108.7426,-3.09,53,0,3.6,US,1674696404
341,williston,48.147,-103.618,-2.59,94,78,4.4,US,1674696229
342,iranshahr,27.2025,60.6848,8.52,28,65,1.41,IR,1674696404
343,ekhabi,53.5102,142.9671,-20.41,91,100,10.42,RU,1674696404
344,ichinohe,40.2069,141.3017,-4.69,76,75,6.58,JP,1674696405
345,inta,66.0317,60.1659,-5.73,92,100,8.16,RU,1674696405
